element_type,element_index,from_bus,to_bus,severity,n_unsupplied,max_loading_percent,kappa_baseline,kappa_learned,betweenness
trafo,0,30,265,475.0,35,12.855899494857177,0.9999999999999989,1.0000000006380265,0.2068004459308807
line,281,227,228,305.0,1,12.856404552501976,0.9999999999999978,1.0000000000103015,0.006666666666666666
line,60,32,35,310.0,2,12.87064167759889,0.9999999999999972,1.0000000000047848,0.013288740245261983
trafo,111,52,259,305.0,1,12.876647905785463,1.0000000000000004,1.0000000000034188,0.006666666666666666
trafo,110,2,248,1000.0,0,,0.9999999999999986,1.0000000000022566,0.006666666666666666
line,264,202,203,315.0,3,12.862397467219777,1.0,1.000000000001693,0.019866220735785953
line,97,59,237,305.0,1,12.85563875140089,0.9999999999999987,1.0000000000009417,0.006666666666666666
trafo,37,168,218,310.0,2,12.856577869808659,1.0000000000000024,1.0000000000008331,0.013288740245261983
trafo,46,209,210,310.0,2,12.852913136563975,0.9999999999999949,1.0000000000004454,0.013288740245261983
line,204,140,142,320.0,4,12.933469844464272,0.9999999999999986,1.0000000000002447,0.02639910813823857
trafo,116,108,262,1000.0,0,,1.0000000000000024,1.0000000000001954,0.006666666666666666
trafo,122,16,251,1000.0,0,,1.0000000000000009,1.0000000000001625,0.006666666666666666
line,207,143,144,310.0,2,12.957371852608556,0.9999999999999968,1.0000000000001503,0.013288740245261983
line,174,112,162,310.0,2,12.875641077663937,0.9999999999999982,1.0000000000001399,0.013288740245261983
trafo,113,144,264,305.0,1,12.95832946846388,1.000000000000005,1.00000000000013,0.006666666666666666
trafo,119,42,256,1795.0,299,0.0,1.0000000000000038,1.0000000000001081,0.006666666666666666
line,205,140,143,315.0,3,12.95904905296885,1.000000000000001,1.0000000000000604,0.019866220735785953
trafo,112,53,260,305.0,1,12.877602023159929,0.9999999999999988,1.000000000000049,0.006666666666666666
trafo,123,32,254,305.0,1,12.867991965160911,0.9999999999999986,1.0000000000000222,0.006666666666666666
line,222,162,163,305.0,1,12.90664407330886,0.999999999999995,1.0000000000000169,0.006666666666666666
trafo,124,48,258,305.0,1,12.861616503307479,1.000000000000001,1.0000000000000135,0.006666666666666666
trafo,104,207,208,305.0,1,12.866899064905343,0.999999999999998,1.0000000000000102,0.006666666666666666
trafo,39,192,191,305.0,1,12.863550270031165,1.0000000000000007,1.0000000000000024,0.006666666666666666
trafo,49,215,219,305.0,1,14.159674163648212,0.9999999999999992,1.0000000000000024,0.006666666666666666
trafo,118,21,252,305.0,1,12.84998376954946,0.9999999999999997,0.9999999999999961,0.006666666666666666
trafo,107,97,242,305.0,1,12.843050338368611,0.9999999999999953,0.9999999999999758,0.006666666666666666
trafo,120,117,263,305.0,1,14.747197238060064,0.9999999999999986,0.9999999999999661,0.006666666666666666
line,93,57,236,305.0,1,12.855343821382172,0.9999999999999996,0.9999999999999591,0.006666666666666666
trafo,41,215,200,305.0,1,12.854659363140462,1.0,0.9999999999999585,0.006666666666666666
trafo,127,58,261,305.0,1,12.859605734728108,0.9999999999999998,0.9999999999999575,0.006666666666666666
line,108,64,68,305.0,1,12.8679842982698,0.9999999999999989,0.9999999999999357,0.006666666666666666
line,234,172,241,305.0,1,12.858188668988884,0.9999999999999987,0.9999999999999337,0.006666666666666666
trafo,105,212,214,305.0,1,15.107567064394036,0.9999999999999987,0.9999999999999304,0.006666666666666666
trafo,43,209,205,305.0,1,12.853014593377537,1.0000000000000024,0.9999999999999146,0.006666666666666666
line,40,22,230,305.0,1,12.863264518966053,1.0000000000000036,0.999999999999912,0.006666666666666666
trafo,108,98,243,305.0,1,12.873985364525325,0.9999999999999973,0.9999999999998982,0.006666666666666666
trafo,114,22,253,305.0,1,12.849174497378133,1.0000000000000022,0.9999999999998457,0.006666666666666666
trafo,47,210,211,305.0,1,12.854287048566293,0.9999999999999997,0.9999999999998432,0.006666666666666666
line,136,84,232,305.0,1,12.855973710128996,1.0,0.999999999999827,0.006666666666666666
trafo,121,11,250,305.0,1,12.870276410436235,0.9999999999999993,0.9999999999998151,0.006666666666666666
trafo,125,37,255,305.0,1,12.85676800827715,0.9999999999999981,0.9999999999997925,0.006666666666666666
line,101,61,239,305.0,1,12.855023652226333,1.0000000000000018,0.9999999999996837,0.006666666666666666
trafo,106,216,217,305.0,1,13.402322033515665,0.9999999999999987,0.9999999999996552,0.006666666666666666
line,43,24,231,305.0,1,12.85610936423646,1.0000000000000064,0.9999999999996222,0.006666666666666666
trafo,6,269,294,305.0,1,12.857211329047075,0.9999999999999993,0.9999999999996179,0.006666666666666666
line,89,54,235,305.0,1,12.851330438083869,1.0000000000000002,0.9999999999995802,0.006666666666666666
line,92,57,58,310.0,2,12.85425126028936,0.9999999999999934,0.9999999999995541,0.013288740245261983
trafo,126,47,257,305.0,1,12.856770385074986,0.9999999999999998,0.9999999999995123,0.006666666666666666
line,139,87,234,305.0,1,12.856001787527468,1.000000000000001,0.9999999999994891,0.006666666666666666
trafo,109,1,247,305.0,1,12.856949507155813,1.0000000000000036,0.9999999999994477,0.006666666666666666
line,10,290,268,320.0,4,12.855827578227737,1.000000000000004,0.9999999999993708,0.02639910813823857
trafo,34,111,149,305.0,1,12.814729894634732,1.0000000000000016,0.9999999999993167,0.006666666666666666
line,0,265,269,335.0,7,12.856609746776579,1.0000000000000004,0.9999999999992853,0.04573021181716833
line,115,70,233,305.0,1,12.855564165579327,1.0000000000000018,0.9999999999991566,0.006666666666666666
trafo,3,269,291,305.0,1,12.855933918172877,1.0000000000000016,0.9999999999990685,0.006666666666666666
line,105,63,238,305.0,1,12.856171205644362,0.9999999999999987,0.9999999999989467,0.006666666666666666
trafo,115,0,246,305.0,1,12.873837980382586,0.999999999999996,0.9999999999988469,0.006666666666666666
line,6,266,273,325.0,5,12.855872271598844,1.000000000000003,0.9999999999987476,0.03288740245261984
line,106,63,240,305.0,1,12.855343373330813,0.9999999999999992,0.999999999998729,0.006666666666666666
trafo,4,269,292,305.0,1,12.855122477374476,1.0000000000000007,0.9999999999981309,0.006666666666666666
line,9,267,290,325.0,5,12.85582757822773,1.0000000000000036,0.9999999999976976,0.03288740245261984
trafo,117,10,249,305.0,1,12.850578934783927,1.0000000000000007,0.9999999999968243,0.006666666666666666
trafo,59,14,16,310.0,2,12.853440206897327,0.9999999999999987,0.9999999999945347,0.013288740245261983
line,272,218,229,305.0,1,12.85657786980867,1.0000000000000047,0.9999999999928544,0.006666666666666666
trafo,5,269,293,310.0,2,12.856007051727067,0.9999999999999899,0.9999999999874084,0.013288740245261983
line,280,226,227,310.0,2,12.855814538780614,1.0000000000000029,0.9999999999856174,0.013288740245261983
trafo,25,293,299,305.0,1,12.855924837063505,0.9999999999999988,0.9999999999784035,0.006666666666666666
trafo,7,269,295,305.0,1,12.856140872533567,0.9999999999999983,0.9999999999743525,0.006666666666666666
line,11,272,298,305.0,1,12.8558914362488,1.0000000000000018,0.9999999999560601,0.006666666666666666
trafo,20,267,282,305.0,1,12.855936353171549,1.0000000000000047,0.9999999998897433,0.006666666666666666
trafo,22,267,284,305.0,1,12.855857823854414,0.9999999999999993,0.9999999998167255,0.006666666666666666
trafo,19,268,289,305.0,1,12.855895519714316,1.0000000000000007,0.9999999998085509,0.006666666666666666
trafo,13,271,297,305.0,1,12.855911297536608,0.9999999999999968,0.9999999996803608,0.006666666666666666
trafo,17,268,287,305.0,1,12.855909376962178,1.000000000000006,0.9999999994768354,0.006666666666666666
trafo,23,267,285,305.0,1,12.855885538069916,0.9999999999999976,0.999999999405835,0.006666666666666666
trafo,8,273,274,305.0,1,12.855921799016715,0.9999999999999989,0.9999999992376862,0.006666666666666666
trafo,12,271,296,305.0,1,12.855910940463792,0.9999999999999956,0.9999999991164148,0.006666666666666666
trafo,24,267,286,305.0,1,12.85586300243417,0.9999999999999962,0.9999999991161822,0.006666666666666666
trafo,9,266,276,305.0,1,12.855923694773425,0.9999999999999971,0.999999998893169,0.006666666666666666
trafo,2,265,272,345.0,9,12.85577292803631,1.0000000000000029,0.9999999988923507,0.058394648829431434
trafo,21,267,283,305.0,1,12.855890055097523,1.000000000000002,0.9999999986519065,0.006666666666666666
line,7,273,275,315.0,3,12.855928093187257,0.9999999999999925,0.9999999985402949,0.019866220735785953
trafo,1,265,270,390.0,18,12.855495474597456,1.0000000000000036,0.9999999985167686,0.1131772575250836
trafo,11,275,278,305.0,1,12.855932634913373,1.0000000000000027,0.9999999984765544,0.006666666666666666
trafo,10,275,277,305.0,1,12.855932633751003,0.9999999999999875,0.9999999980614422,0.006666666666666666
trafo,14,267,279,305.0,1,12.855882821690793,1.0000000000000098,0.9999999968980292,0.006666666666666666
trafo,16,267,281,305.0,1,12.85588121626974,0.9999999999999994,0.9999999966467091,0.006666666666666666
trafo,15,267,280,305.0,1,12.855897215485253,1.0000000000000002,0.9999999964918385,0.006666666666666666
trafo,18,268,288,305.0,1,12.855914169246338,0.9999999999999957,0.9999999952475161,0.006666666666666666
line,271,213,216,0.0,0,12.856048598184339,0.9930711634253409,0.9999909747731974,0.00137123745819398
line,269,209,215,0.0,0,12.855928843284332,0.9896338459971316,0.9999904955675899,0.08483835005574111
line,129,80,87,0.0,0,12.856767579151912,0.9870869150851921,0.9999567062315141,0.01768500871809
line,147,95,96,0.0,0,12.843754951801284,0.9853380507642727,0.999945742151493,0.019450018580453362
line,263,199,201,0.0,0,12.856369201506654,0.9884093690800765,0.9999335362645678,0.008216276477146045
line,188,118,160,0.0,0,12.858633494236704,0.9813287086157347,0.9999330236218691,0.020655359133620002
line,228,168,209,0.0,0,12.85714640521935,0.9811936413553651,0.9999264387225125,0.023942772203641757
line,254,192,220,0.0,0,12.855950050624562,0.9829699598445247,0.9998510089107399,0.04012464829856132
line,259,197,215,0.0,0,12.858467797362971,0.974861258045078,0.9998328718408546,0.12691192865105907
trafo,92,160,117,0.0,0,12.860363654420096,0.9698358214001853,0.9997910915832025,0.01422652227000053
line,88,53,122,0.0,0,12.847586298249848,0.9812094705467891,0.9997371662608973,0.14823240257175072
trafo,87,133,134,1000.0,0,,0.9628730312104472,0.9995596323932416,0.009892793764916526
line,85,50,52,1000.0,0,,0.9676218691545406,0.9994742119741831,0.00754032762728415
line,253,192,193,1000.0,0,,0.9698963343564486,0.9993275523178811,0.05230599352338483
trafo,67,55,54,1000.0,0,,0.944582604536559,0.9993167274455754,0.014973244147157191
trafo,54,3,2,0.0,0,12.90546620104594,0.9495463513565241,0.999017651321347,0.22303902916110288
line,178,115,118,0.0,0,12.844375116578114,0.9691870276091918,0.9989835212382879,0.11543829140663543
line,282,174,245,0.0,0,12.85599687480877,0.9445608718799476,0.9988837579676886,0.004914423740510704
line,144,90,92,0.0,0,12.855919597016156,0.9472099564100611,0.9986914855958491,0.005889710987782992
line,103,63,64,0.0,0,12.856626543749043,0.9406103255819965,0.9986612123683133,0.000906911928651059
line,12,0,4,0.0,0,12.889059873566522,0.9384566691158236,0.9982002611258687,0.003288700832179092
