eval,restart,value,score,step
1,0,4.879330640601942,0.3640892353524014,0.1
2,0,4.979330640601941,0.3536558673324842,0.1
3,0,4.779330640601942,0.3594422660493262,0.1
4,0,4.979330640601941,0.3536558673324842,0.1
5,0,4.779330640601942,0.3594422660493262,0.1
6,0,4.979330640601941,0.3536558673324842,0.1
7,0,4.779330640601942,0.3594422660493262,0.1
8,0,4.979330640601941,0.3536558673324842,0.1
9,0,4.779330640601942,0.3594422660493262,0.1
10,0,4.979330640601941,0.3536558673324842,0.1
11,0,4.779330640601942,0.3594422660493262,0.1
12,0,4.979330640601941,0.3536558673324842,0.1
13,0,4.779330640601942,0.3594422660493262,0.1
14,0,4.979330640601941,0.3536558673324842,0.1
15,0,4.779330640601942,0.3594422660493262,0.1
16,0,4.979330640601941,0.3536558673324842,0.1
17,0,4.779330640601942,0.3594422660493262,0.1
18,0,4.979330640601941,0.3536558673324842,0.1
19,0,4.779330640601942,0.3594422660493262,0.1
20,0,4.979330640601941,0.3536558673324842,0.1
21,0,4.779330640601942,0.3594422660493262,0.1
22,0,4.9293306406019415,0.3650740831721447,0.05
23,0,4.979330640601941,0.3536558673324842,0.05
24,0,4.879330640601942,0.3640892353524014,0.05
25,0,4.979330640601941,0.3536558673324842,0.05
26,0,4.879330640601942,0.3640892353524014,0.05
27,0,4.979330640601941,0.3536558673324842,0.05
28,0,4.879330640601942,0.3640892353524014,0.05
29,0,4.979330640601941,0.3536558673324842,0.05
30,0,4.879330640601942,0.3640892353524014,0.05
31,0,4.979330640601941,0.3536558673324842,0.05
32,0,4.879330640601942,0.3640892353524014,0.05
33,0,4.979330640601941,0.3536558673324842,0.05
34,0,4.879330640601942,0.3640892353524014,0.05
35,0,4.979330640601941,0.3536558673324842,0.05
36,0,4.879330640601942,0.3640892353524014,0.05
37,0,4.979330640601941,0.3536558673324842,0.05
38,0,4.879330640601942,0.3640892353524014,0.05
39,0,4.979330640601941,0.3536558673324842,0.05
40,0,4.879330640601942,0.3640892353524014,0.05
41,0,4.979330640601941,0.3536558673324842,0.05
42,0,4.879330640601942,0.3640892353524014,0.05
43,0,4.954330640601942,0.37292187157912804,0.025
44,0,4.979330640601942,0.3574145991373833,0.025
45,0,4.9293306406019415,0.3650740831721447,0.025
46,0,4.979330640601942,0.3574145991373833,0.025
47,0,4.9293306406019415,0.3650740831721447,0.025
48,0,4.979330640601942,0.3574145991373833,0.025
49,0,4.9293306406019415,0.3650740831721447,0.025
50,0,4.979330640601942,0.3574145991373833,0.025
51,0,4.9293306406019415,0.3650740831721447,0.025
52,0,4.979330640601942,0.3574145991373833,0.025
53,0,4.9293306406019415,0.3650740831721447,0.025
54,0,4.979330640601942,0.3574145991373833,0.025
55,0,4.9293306406019415,0.3650740831721447,0.025
56,0,4.979330640601942,0.3574145991373833,0.025
57,0,4.9293306406019415,0.3650740831721447,0.025
58,0,4.979330640601942,0.3574145991373833,0.025
59,0,4.9293306406019415,0.3650740831721447,0.025
60,0,4.979330640601942,0.3574145991373833,0.025
61,0,4.9293306406019415,0.3650740831721447,0.025
62,0,4.979330640601942,0.3574145991373833,0.025
63,0,4.9293306406019415,0.3650740831721447,0.025
64,0,4.966830640601942,0.3614265912698261,0.0125
65,0,4.941830640601942,0.36778799056395733,0.0125
66,0,4.966830640601942,0.3614265912698261,0.0125
67,0,4.941830640601942,0.36778799056395733,0.0125
68,0,4.966830640601942,0.3614265912698261,0.0125
69,0,4.941830640601942,0.36778799056395733,0.0125
70,0,4.966830640601942,0.3614265912698261,0.0125
71,0,4.941830640601942,0.36778799056395733,0.0125
72,0,4.966830640601942,0.3614265912698261,0.0125
73,0,4.941830640601942,0.36778799056395733,0.0125
74,0,4.966830640601942,0.3614265912698261,0.0125
75,0,4.941830640601942,0.36778799056395733,0.0125
76,0,4.966830640601942,0.3614265912698261,0.0125
77,0,4.941830640601942,0.36778799056395733,0.0125
78,0,4.966830640601942,0.3614265912698261,0.0125
79,0,4.941830640601942,0.36778799056395733,0.0125
80,0,4.966830640601942,0.3614265912698261,0.0125
81,0,4.941830640601942,0.36778799056395733,0.0125
82,0,4.966830640601942,0.3614265912698261,0.0125
83,0,4.941830640601942,0.36778799056395733,0.0125
84,1,3.817641524852247,0.5645527147235226,0.1
85,1,3.917641524852247,0.5184557118807238,0.1
86,1,3.717641524852247,0.5993985308398803,0.1
87,1,3.817641524852247,0.5645527147235226,0.1
88,1,3.617641524852247,0.6436731456169946,0.1
89,1,3.717641524852247,0.5993985308398803,0.1
90,1,3.517641524852247,0.6697078104932674,0.1
91,1,3.617641524852247,0.6436731456169946,0.1
92,1,3.4176415248522467,0.6752108184032755,0.1
93,1,3.517641524852247,0.6697078104932674,0.1
94,1,3.3176415248522466,0.6777304078549112,0.1
95,1,3.4176415248522467,0.6752108184032755,0.1
96,1,3.2176415248522465,0.6787639611224607,0.1
97,1,3.3176415248522466,0.6777304078549112,0.1
98,1,3.1176415248522464,0.6797162335748164,0.1
99,1,3.2176415248522465,0.6787639611224607,0.1
100,1,3.0176415248522463,0.6805709045794629,0.1
101,1,3.1176415248522464,0.6797162335748164,0.1
102,1,2.9176415248522463,0.6808691452497538,0.1
103,1,3.0176415248522463,0.6805709045794629,0.1
104,1,2.817641524852246,0.6820928679205098,0.1
105,1,2.9176415248522463,0.6808691452497538,0.1
106,1,2.717641524852246,0.6794371425555431,0.1
107,1,2.9176415248522463,0.6808691452497538,0.1
108,1,2.717641524852246,0.6794371425555431,0.1
109,1,2.9176415248522463,0.6808691452497538,0.1
110,1,2.717641524852246,0.6794371425555431,0.1
111,1,2.9176415248522463,0.6808691452497538,0.1
112,1,2.717641524852246,0.6794371425555431,0.1
113,1,2.9176415248522463,0.6808691452497538,0.1
114,1,2.717641524852246,0.6794371425555431,0.1
115,1,2.9176415248522463,0.6808691452497538,0.1
116,1,2.717641524852246,0.6794371425555431,0.1
117,1,2.9176415248522463,0.6808691452497538,0.1
118,1,2.717641524852246,0.6794371425555431,0.1
119,1,2.9176415248522463,0.6808691452497538,0.1
120,1,2.717641524852246,0.6794371425555431,0.1
121,1,2.9176415248522463,0.6808691452497538,0.1
122,1,2.717641524852246,0.6794371425555431,0.1
123,1,2.9176415248522463,0.6808691452497538,0.1
124,1,2.717641524852246,0.6794371425555431,0.1
125,1,2.867641524852246,0.680036939472615,0.05
126,1,2.7676415248522463,0.6832690371511397,0.05
127,1,2.817641524852246,0.6820928679205098,0.05
128,1,2.7176415248522465,0.6795247606111341,0.05
129,1,2.817641524852246,0.6820928679205098,0.05
